category,자연어 질의,sql_pattern_oracle,tables_used,join_keys,notes,SQL 실행결과,
exposure,입원 기간 동안 norepinephrine 총 투여량(amount)을 입원별로 합산해줘.,"WITH norepi_item AS (
  SELECT itemid
  FROM SSO.D_ITEMS
  WHERE LOWER(label) LIKE '%norepinephrine%'
), stays AS (
  SELECT hadm_id, stay_id
  FROM SSO.ICUSTAYS
)
SELECT
  s.hadm_id,
  SUM(ie.amount) AS norepi_total_amount
FROM stays s
JOIN SSO.INPUTEVENTS ie
  ON ie.stay_id = s.stay_id
JOIN norepi_item ni
  ON ni.itemid = ie.itemid
GROUP BY s.hadm_id;",SSO.ICUSTAYS;SSO.INPUTEVENTS;SSO.D_ITEMS,stay_id;hadm_id;itemid,"승압제는 보통 icu.inputevents에서 추출, label->itemid 매핑 필요.",13초,
exposure,입원 기간 전체에서 승압제(노르에피네프린/에피네프린/바소프레신)를 약물 종류별로 각각 총 투여량을 계산해줘.,"WITH vp_items AS (
  SELECT itemid,
         CASE
           WHEN LOWER(label) LIKE '%norepinephrine%' THEN 'norepinephrine'
           WHEN LOWER(label) LIKE '%epinephrine%' THEN 'epinephrine'
           WHEN LOWER(label) LIKE '%vasopressin%' THEN 'vasopressin'
         END AS drug
  FROM SSO.D_ITEMS
  WHERE LOWER(label) LIKE '%norepinephrine%'
     OR LOWER(label) LIKE '%epinephrine%'
     OR LOWER(label) LIKE '%vasopressin%'
), stays AS (
  SELECT hadm_id, stay_id
  FROM SSO.ICUSTAYS
)
SELECT
  s.hadm_id,
  v.drug,
  SUM(ie.amount) AS total_amount
FROM stays s
JOIN SSO.INPUTEVENTS ie
  ON ie.stay_id = s.stay_id
JOIN vp_items v
  ON v.itemid = ie.itemid
GROUP BY s.hadm_id, v.drug;",SSO.ICUSTAYS;SSO.INPUTEVENTS;SSO.D_ITEMS,stay_id;hadm_id;itemid,운영에서는 drug mapping 테이블을 별도로 두는 편이 안정적.,15초,
exposure,중환자실 입원 기간동안 norepinephrine이 언제부터 언제까지 어떤 속도로 들어갔는지(시작/종료/속도) 타임라인 형태로 보여줘.,"WITH norepi_item AS (
  SELECT itemid
  FROM SSO.D_ITEMS
  WHERE LOWER(label) LIKE '%norepinephrine%'
)
SELECT
  ie.stay_id,
  ie.starttime,
  ie.endtime,
  ie.rate,
  ie.rateuom
FROM SSO.INPUTEVENTS ie
JOIN norepi_item ni
  ON ni.itemid = ie.itemid
WHERE ie.rate IS NOT NULL
ORDER BY ie.stay_id, ie.starttime;",SSO.INPUTEVENTS;SSO.D_ITEMS,stay_id;itemid,rate 단위(rateuom) 확인 필요.,11초,
exposure,처방 기록에서 항생제 리스트 테이블 만들어줘. drug는 대문자로 통일해줘.,"WITH abx_flag AS (
  SELECT DISTINCT
    drug,
    route,
    CASE
      WHEN LOWER(drug) LIKE '%vancomycin%' THEN 1
      WHEN LOWER(drug) LIKE '%zosyn%' THEN 1
      WHEN LOWER(drug) LIKE '%ceftriaxone%' THEN 1
      ELSE 0
    END AS is_antibiotic
  FROM SSO.prescriptions
  WHERE drug_type NOT IN ('BASE')
    AND route NOT IN ('OU','OS','OD','AU','AS','AD','TP')
    AND LOWER(route) NOT LIKE '%ear%'
    AND LOWER(route) NOT LIKE '%eye%')
SELECT
  p.subject_id, p.hadm_id,
  i.stay_id,
  p.drug AS antibiotic,
  p.route,
  p.starttime,
  p.stoptime
FROM SSO.prescriptions p
JOIN abx_flag f
  ON p.drug = f.drug
 AND p.route = f.route
LEFT JOIN SSO.icustays i
  ON p.hadm_id = i.hadm_id
 AND p.starttime >= i.intime
 AND p.starttime <  i.outtime
WHERE f.is_antibiotic = 1;",,,,,
exposure,입원 중 처방(prescriptions)에서 특정 항생제(예: piperacillin-tazobactam)가 몇 번 주문됐는지 입원별로 세어줘.,"SELECT
  hadm_id,
  COUNT(*) AS rx_order_cnt
FROM SSO.PRESCRIPTIONS
WHERE LOWER(drug) LIKE '%piperacillin%tazobactam%'
GROUP BY hadm_id;",SSO.PRESCRIPTIONS,hadm_id,"prescriptions는 주문(요청) 데이터, 투여와 구분.",,
exposure,중환자실 입원중에 CRRT(지속적 신대체요법/투석) 관련 처치 이벤트가 한 번이라도 있었는지 확인해서 표시해줘.,"WITH crrt_items AS (
  SELECT itemid
  FROM SSO.D_ITEMS
  WHERE LOWER(label) LIKE '%crrt%'
     OR LOWER(label) LIKE '%dialysis%'
)
SELECT
  pe.stay_id,
  MIN(pe.starttime) AS first_crrt_time
FROM SSO.PROCEDUREEVENTS pe
JOIN crrt_items ci
  ON ci.itemid = pe.itemid
GROUP BY pe.stay_id;",SSO.PROCEDUREEVENTS;SSO.D_ITEMS,stay_id;itemid,procedureevents 기반 처치 시작 시점 추출 패턴.,,
outcome,입원별로 병원 내 사망 여부를 뽑아줘.,"SELECT
  hadm_id,
  subject_id,
  hospital_expire_flag
FROM SSO.ADMISSIONS;",SSO.ADMISSIONS,hadm_id;subject_id,입원 단위 결과 변수로 바로 사용 가능.,,
outcome,입원별 재원일수를 계산해줘.,"SELECT
  hadm_id,
  subject_id,
  admittime,
  dischtime,
  (dischtime - admittime) AS los_interval
FROM SSO.ADMISSIONS;",SSO.ADMISSIONS,hadm_id,DB별 interval 타입/표현이 다를 수 있음.,,
outcome,중환자실 입원 기간별 재실시간을 계산해줘.,"SELECT
  stay_id,
  hadm_id,
  intime,
  outtime,
  (outtime - intime) AS icu_los_interval
FROM SSO.ICUSTAYS;",SSO.ICUSTAYS,stay_id;hadm_id,ICU 단위 결과 변수.,,
outcome,각 입원에 대해 30일 내 재입원 여부를 다시 한 번(분석용 라벨로) 만들어줘.,"SELECT
  a1.hadm_id,
  a1.subject_id,
  CASE WHEN EXISTS (
    SELECT 1
    FROM SSO.ADMISSIONS a2
    WHERE a2.subject_id = a1.subject_id
      AND a2.admittime BETWEEN a1.dischtime AND a1.dischtime + 30
      AND a2.hadm_id <> a1.hadm_id
  ) THEN 1 ELSE 0 END AS readmit_30d_flag
FROM SSO.ADMISSIONS a1;",SSO.ADMISSIONS,subject_id,질 평가 지표로 자주 쓰는 derived outcome.,,
outcome,입원 중 사망한 환자는 사망 시점(deathtime)도 같이 포함해서 뽑아줘.,"SELECT
  hadm_id,
  subject_id,
  hospital_expire_flag,
  deathtime
FROM SSO.ADMISSIONS
WHERE hospital_expire_flag = 1;",SSO.ADMISSIONS,hadm_id,deathtime은 일부 입원에서만 존재.,,
outcome,퇴원 형태가 어떻게 분포하는지 집계해줘.,"SELECT
  discharge_location,
  COUNT(*) AS hadm_cnt
FROM SSO.ADMISSIONS
GROUP BY discharge_location
ORDER BY hadm_cnt DESC;",SSO.ADMISSIONS,hadm_id,퇴원 형태는 연구/운영 지표로 자주 사용.,,null은 뭘 의미하는걸까?
outcome,입원 중 병동 이동이 총 몇 번 있었는지 입원별로 계산해줘.,"SELECT
  hadm_id,
  COUNT(*) AS transfer_cnt
FROM SSO.TRANSFERS
GROUP BY hadm_id;",SSO.TRANSFERS,hadm_id,transfers는 병동/부서 이동 이벤트 테이블.,,
outcome,"같은 입원안에서 중환자실에 두 번 이상 들어간 경우(재입실, 두 번째 stay 이상)인지 플래그로 표시해줘.","WITH cnt AS (
  SELECT hadm_id, COUNT(*) AS icu_stay_cnt
  FROM SSO.ICUSTAYS
  GROUP BY hadm_id
)
SELECT
  hadm_id,
  CASE WHEN icu_stay_cnt >= 2 THEN 1 ELSE 0 END AS icu_readmit_same_hadm_flag
FROM cnt;",SSO.ICUSTAYS,hadm_id,ICU 재입실은 병원 내 경과 악화의 대리지표로 쓰이기도 함.,,
